"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/19/2022","TST* ZOMBIERUNNER COFFEE PALO ALTO    CA ","TST* ZOMBIERUNNER COFFEE PALO ALTO    CA","7.50","debit","Coffee Shops","Premium Rewards Visa Signature - 4511","",""
"11/18/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"11/17/2022","FARMHOUSE MENLO PARK     MENLO PARK   CA ","FARMHOUSE MENLO PARK     MENLO PARK   CA","127.81","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/16/2022","SATURA PATISSERIE        LOS ALTOS    CA ","SATURA PATISSERIE        LOS ALTOS    CA","59.00","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/16/2022","BT*DD *DOORDASH RADHSAN FRANCISCO       CA","BT*DD *DOORDASH RADHSAN FRANCISCO       CA","51.14","debit","Food Delivery","Blue from American Express","",""
"11/15/2022","PURCHASE                                AUTHORIZED ON   11/13 MYUNG RANG CUPERTI        CUPERTINO     CA  S382317741441024   CARD 7539","PURCHASE                                AUTHORIZED ON   11/13 MYUNG RANG CUPERTI        CUPERTINO     CA  S382317741441024   CARD 7539","6.27","debit","Restaurants","Meghna Chk","",""
"11/14/2022","TST* Pasta E Basta","TST* Pasta E Basta","92.04","debit","Restaurants","CREDIT CARD","",""
"11/14/2022","Subway 6845","Subway 6845","13.52","debit","Fast Food","CREDIT CARD","",""
"11/14/2022","PURCHASE                                AUTHORIZED ON   11/13 T4 CUPERTINO              CUPERTINO     CA  S582317769129723   CARD 7539","PURCHASE                                AUTHORIZED ON   11/13 T4 CUPERTINO              CUPERTINO     CA  S582317769129723   CARD 7539","11.73","debit","Fast Food","Meghna Chk","",""
"11/14/2022","2OAKLAND ARENA           OAKLAND      CA ","2OAKLAND ARENA           OAKLAND      CA","17.64","debit","Alcohol & Bars","Premium Rewards Visa Signature - 4511","",""
"11/13/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"11/13/2022","FIVE GUYS 1927 QSR","FIVE GUYS 1927 QSR","51.39","debit","Fast Food","CREDIT CARD","",""
"11/12/2022","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","17.76","debit","Fast Food","Blue from American Express","",""
"11/12/2022","THAI CHILI CUISINE       SANTA CLARA  CA ","THAI CHILI CUISINE       SANTA CLARA  CA","43.03","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/11/2022","Subway 60197","Subway 60197","21.74","debit","Fast Food","CREDIT CARD","",""
"11/10/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"11/10/2022","GglPay DOORDASH*COUPSAN FRANCISCO       CA","GglPay DOORDASH*COUPSAN FRANCISCO       CA","76.26","debit","Food Delivery","Blue from American Express - Supplementary account","",""
"11/09/2022","JOE  THE JUICE SFO LLC   Palo Alto    CA ","JOE  THE JUICE SFO LLC   Palo Alto    CA","7.70","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"11/08/2022","SQ *AMHERST COFFEE + BAR","SQ *AMHERST COFFEE + BAR","5.54","debit","Coffee Shops","CREDIT CARD","",""
"11/08/2022","PURCHASE                                AUTHORIZED ON   11/06 GONG CHA - WESTGAT        SAN JOSE      CA  S462310834177198   CARD 7539","PURCHASE                                AUTHORIZED ON   11/06 GONG CHA - WESTGAT        SAN JOSE      CA  S462310834177198   CARD 7539","8.18","debit","Restaurants","Meghna Chk","",""
"11/08/2022","AMBER INDIA RESTAURANT   SAN JOSE     CA ","AMBER INDIA RESTAURANT   SAN JOSE     CA","105.14","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/08/2022","INTERNATIONAL TRANSACTION","INTERNATIONAL TRANSACTION","8.98","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"11/07/2022","DOORDASH DASHPASS   SAN FRANCISCO       CA","DOORDASH DASHPASS   SAN FRANCISCO       CA","9.99","debit","Food Delivery","Blue from American Express","",""
"11/07/2022","PURCHASE                                AUTHORIZED ON   11/04 FANTASIA COFFEE &         CUPERTINO     CA  S582309121611592   CARD 7539","PURCHASE                                AUTHORIZED ON   11/04 FANTASIA COFFEE &         CUPERTINO     CA  S582309121611592   CARD 7539","14.19","debit","Coffee Shops","Meghna Chk","",""
"11/07/2022","INTERNATIONAL TRANSACTION","INTERNATIONAL TRANSACTION","58.28","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"11/07/2022","INTERNATIONAL TRANSACTION","INTERNATIONAL TRANSACTION","6.82","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"11/05/2022","BT*DD *DOORDASH LITTSAN FRANCISCO       CA","BT*DD *DOORDASH LITTSAN FRANCISCO       CA","68.40","debit","Food Delivery","Blue from American Express","",""
"11/05/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"11/04/2022","SNOWFLAKE COMPUTING","SNOWFLAKE COMPUTING","47.06","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"11/04/2022","AMBER INDIA RESTAURANT","AMBER INDIA RESTAURANT","129.20","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"11/04/2022","SQ *ZAREEN'S PALO ALTO   Palo Alto    CA ","SQ *ZAREEN'S PALO ALTO   Palo Alto    CA","2.20","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/03/2022","ANTONIO'S PIZZA","ANTONIO'S PIZZA","29.40","debit","Restaurants","CREDIT CARD","",""
"11/02/2022","SQ *PHILZ COFFEE         Burlingame   CA ","SQ *PHILZ COFFEE         Burlingame   CA","4.25","debit","Coffee Shops","Premium Rewards Visa Signature - 4511","",""
"11/01/2022","SLACK T01744AURUK","SLACK T01744AURUK","177.21","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"10/31/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"10/31/2022","PURCHASE                                AUTHORIZED ON   10/28 FANTASIA COFFEE &         CUPERTINO     CA  S582302028738966   CARD 7539","PURCHASE                                AUTHORIZED ON   10/28 FANTASIA COFFEE &         CUPERTINO     CA  S582302028738966   CARD 7539","5.18","debit","Coffee Shops","Meghna Chk","",""
"10/31/2022","PURCHASE                                AUTHORIZED ON   10/29 SQ *KURA REVOLVING        Cupertino     CA  S302303119890424   CARD 7539","PURCHASE                                AUTHORIZED ON   10/29 SQ *KURA REVOLVING        Cupertino     CA  S302303119890424   CARD 7539","24.76","debit","Restaurants","Meghna Chk","",""
"10/31/2022","PURCHASE                                AUTHORIZED ON   10/29 SNACK* CAFE LATTEA        120-36845156  CA  S302303146330792   CARD 7539","PURCHASE                                AUTHORIZED ON   10/29 SNACK* CAFE LATTEA        120-36845156  CA  S302303146330792   CARD 7539","7.25","debit","Restaurants","Meghna Chk","",""
"10/31/2022","DOORDASH*WENDYS","DOORDASH*WENDYS","46.00","debit","Fast Food","CREDIT CARD","",""
"10/30/2022","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","62.30","debit","Restaurants","Blue from American Express","",""
"10/29/2022","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","48.86","debit","Fast Food","Blue from American Express","",""
"10/25/2022","PY *RANGOLI SWEETS       SANTA CLARA  CA ","PY *RANGOLI SWEETS       SANTA CLARA  CA","155.88","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/24/2022","SQ *BIG BASIN CAFE       Saratoga     CA ","SQ *BIG BASIN CAFE       Saratoga     CA","19.64","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/24/2022","SQ *BIG BASIN CAFE       Saratoga     CA ","SQ *BIG BASIN CAFE       Saratoga     CA","15.00","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/24/2022","TST* ZOMBIERUNNER COFFEE PALO ALTO    CA ","TST* ZOMBIERUNNER COFFEE PALO ALTO    CA","7.50","debit","Coffee Shops","Premium Rewards Visa Signature - 4511","",""
"10/24/2022","TST* WOW WOW HAWAIIAN LEMSAN JOSE     CA ","TST* WOW WOW HAWAIIAN LEMSAN JOSE     CA","6.22","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/24/2022","TST* Iya Sushi and Noodle","TST* Iya Sushi and Noodle","69.39","debit","Restaurants","CREDIT CARD","",""
"10/23/2022","Subway 60197","Subway 60197","16.22","debit","Fast Food","CREDIT CARD","",""
"10/23/2022","Subway 60197","Subway 60197","3.31","debit","Fast Food","CREDIT CARD","",""
"10/22/2022","BT*DD *DOORDASH BOUDSAN FRANCISCO       CA","BT*DD *DOORDASH BOUDSAN FRANCISCO       CA","19.02","debit","Food Delivery","Blue from American Express","",""
"10/22/2022","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","62.30","debit","Restaurants","Blue from American Express","",""
"10/21/2022","GglPay ZAREEN'S PALOPalo Alto           CA","GglPay ZAREEN'S PALOPalo Alto           CA","29.93","debit","Restaurants","Blue from American Express","",""
"10/21/2022","JOE  THE JUICE SFO LLC   Palo Alto    CA ","JOE  THE JUICE SFO LLC   Palo Alto    CA","7.70","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"10/21/2022","COUPA CAFE 1             650-3226872  CA ","COUPA CAFE 1             650-3226872  CA","9.35","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/20/2022","BT*DD *DOORDASH DISHSAN FRANCISCO       CA","BT*DD *DOORDASH DISHSAN FRANCISCO       CA","65.05","debit","Food Delivery","Blue from American Express","",""
"10/19/2022","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","19.02","debit","Fast Food","Blue from American Express","",""
"10/18/2022","BT*DD *DOORDASH CHAASAN FRANCISCO       CA","BT*DD *DOORDASH CHAASAN FRANCISCO       CA","41.20","debit","Food Delivery","Blue from American Express","",""
"10/17/2022","DOORDASH*KOJA KITCHESAN FRANCISCO       CA","DOORDASH*KOJA KITCHESAN FRANCISCO       CA","16.28","debit","Food Delivery","Blue from American Express","",""
"10/17/2022","HONGS GOURMET            SARATOGA     CA ","HONGS GOURMET            SARATOGA     CA","106.18","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/17/2022","PAULI'S","PAULI'S","32.93","debit","Restaurants","CREDIT CARD","",""
"10/16/2022","BT*DD *DOORDASH FIVESAN FRANCISCO       CA","BT*DD *DOORDASH FIVESAN FRANCISCO       CA","27.66","debit","Food Delivery","Blue from American Express","",""
"10/16/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"10/16/2022","IHOP #4725","IHOP #4725","50.16","debit","Restaurants","CREDIT CARD","",""
"10/16/2022","COOPER STREET","COOPER STREET","25.00","debit","Alcohol & Bars","CREDIT CARD","",""
"10/14/2022","CKE*FAMBRINIS S CAFE 2500PALO ALTO    CA ","CKE*FAMBRINIS S CAFE 2500PALO ALTO    CA","17.58","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/14/2022","DD DOORDASH FIVEGUYSB","DD DOORDASH FIVEGUYSB","34.35","debit","Fast Food","CREDIT CARD","",""
"10/13/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"10/13/2022","JOE  THE JUICE SFO LLC   Palo Alto    CA ","JOE  THE JUICE SFO LLC   Palo Alto    CA","8.23","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"10/12/2022","CHIPOTLE 1693","CHIPOTLE 1693","13.48","debit","Fast Food","CREDIT CARD","",""
"10/12/2022","DNCSS TD GARDEN CONCES","DNCSS TD GARDEN CONCES","8.56","debit","Alcohol & Bars","CREDIT CARD","",""
"10/11/2022","TST* Boston Doner","TST* Boston Doner","26.77","debit","Restaurants","CREDIT CARD","",""
"10/10/2022","TST* Local Union 271     Palo Alto    CA ","TST* Local Union 271     Palo Alto    CA","60.84","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/10/2022","CKE*THE MYNT SAN JOSE    SAN JOSE     CA ","CKE*THE MYNT SAN JOSE    SAN JOSE     CA","110.59","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/09/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"10/09/2022","TST* Works Bakery Cafe 8","TST* Works Bakery Cafe 8","24.38","debit","Restaurants","CREDIT CARD","",""
"10/09/2022","DD DOORDASH JOYBOWL","DD DOORDASH JOYBOWL","22.93","debit","Food Delivery","CREDIT CARD","",""
"10/08/2022","SQ *SCOOP MICROCREAMERY  Palo Alto    CA ","SQ *SCOOP MICROCREAMERY  Palo Alto    CA","25.88","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"10/07/2022","ROCK N ROLL EVENTS MTAMPA               FL","ROCK N ROLL EVENTS MTAMPA               FL","87.35","debit","Restaurants","Blue from American Express","",""
"10/07/2022","DOORDASH DASHPASS   SAN FRANCISCO       CA","DOORDASH DASHPASS   SAN FRANCISCO       CA","9.99","debit","Food Delivery","Blue from American Express","",""
"10/06/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"10/06/2022","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","SLICE*TASTYPIZZAINDINEW YORK CITY       NY","30.86","debit","Restaurants","Blue from American Express","",""
"10/06/2022","TST* Pausa Bar & Cooke","TST* Pausa Bar & Cooke","1594.41","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"10/06/2022","SNOWFLAKE COMPUTING","SNOWFLAKE COMPUTING","27.04","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"10/04/2022","PEOPLES ORGANIC","PEOPLES ORGANIC","4.25","debit","Restaurants","CREDIT CARD","",""
"10/03/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"10/03/2022","SLACK T01744AURUK","SLACK T01744AURUK","143.15","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"10/03/2022","TST* Hot Table","TST* Hot Table","59.84","debit","Restaurants","CREDIT CARD","",""
"10/03/2022","TEXAS ROADHOUSE #2119","TEXAS ROADHOUSE #2119","24.77","debit","Restaurants","CREDIT CARD","",""
"10/03/2022","DUNKIN #338118 Q35","DUNKIN #338118 Q35","45.26","debit","Coffee Shops","CREDIT CARD","",""
"10/02/2022","GglPay LAKSHMI BAZAASAN JOSE            CA","GglPay LAKSHMI BAZAASAN JOSE            CA","128.39","debit","Restaurants","Blue from American Express","",""
"10/02/2022","GglPay BIRYANI & KABSUNNYVALE           CA","GglPay BIRYANI & KABSUNNYVALE           CA","8.73","debit","Restaurants","Blue from American Express","",""
"10/02/2022","DD DOORDASH PRIMOSTOO","DD DOORDASH PRIMOSTOO","24.51","debit","Food Delivery","CREDIT CARD","",""
"10/01/2022","BT*DD *DOORDASH MOMOSAN FRANCISCO       CA","BT*DD *DOORDASH MOMOSAN FRANCISCO       CA","19.93","debit","Food Delivery","Blue from American Express","",""
